ID,Name,Description,Class
0,鹼性王梅精飴禮盒(5包/盒),「參與糖分代謝…抑制壞菌生長…遠離疾病…延年益壽」「骨質疏鬆症是僅次於心血管問題的第2大疾病」,1
1,舒眠晚安粉,「增強抵抗力...而當長期處於熬夜、壓力大的生理狀態下...造成易倦、代謝下降及情緒不穩等問題...能保持神經系統健康，紓緩煩躁不安...有助維持肝臟健康...促進蛋白質和核酸的新陳代謝」,1
2,長庚研發元氣草本清晰靈光專案,「磷脂醯絲氨酸升記憶、促進大腦新陳代謝...改善阿茲海默氏症症狀，提升代謝力14.8%、減少神經細胞死亡92%、提升神經細胞訊息傳導能力95%、改善記憶及學習能力96%…神經活化效果專利、減少細胞老化專利、減少神經細胞死亡率專利、增強頭部資訊接受功能專利、神經傳送修復功效專利..」,1
3,長庚研發緩釋B群能量滿分專案,「長庚醫學團隊研發，新陳代謝科、減重門診、家醫科指定處方...女試用者竹庭口述：懷孕胖28公斤…才吃一個月，把6公斤全部都瘦回來…女來賓口述：…吃了前2個禮拜就瘦5公斤…接著10公斤…持續半年，總共瘦了17公斤，都沒停滯期、沒復胖…女來賓詹00口述：吃了一個禮拜瘦3公斤...肥胖、皮膚差、疲倦」,1
4,夜爆燃膠囊,淨化腸胃好健康…促進腸胃蠕動…瘦身…燃燒脂肪…減肥藥…瘦的有線條…控制肥腰肚…長期便秘…毒素堆積…清空宿便」,1
5,醇萃皙飲養顏美容逆齡獨家專案,「對抗老化/活化，淡化各類黑色素、消除皺紋健康回春...經由美國藥物管理局功效證實1.活化人體抗老化基因。2.淡化去除各類黑色素。3.撫平紋路。4.延緩更年期...美國功效專利預防與改善心臟病、美國功效專利預防乙醯氨酚引發的肝毒性、美國功效專利協助膽固醇降低、美國功效專利舒緩壓力造成的胃傷害」,1
6,美感茶花凍,「卡脂…無理節食產生口臭、皮膚變差…拉你一起變胖…天然…很適合有在控制體重的人」,1
7,JEWELRYADVANCE極緻璀璨美妍錠-3入訂購方案120錠/盒,「高保濕、高淨白、高抗氧...還你白無垢的透亮美肌...幫助肌膚重拾亮白...抗老...美白...賀爾蒙失調、老化...美白原來可以這麼簡單...皮膚也比較不會乾燥」,1
8,方馨指定墨墨黑育髮豐盈專案,「重點是它可以活化你的毛囊，包含預防你很容易落髮，不管是年紀或是更年期等等的，重點是讓你髮根變年輕，你再也不用染頭髮，因為你長出來的頭髮都黑金黑金那樣子…四週活化毛囊98%…四週預防落髮97%…四週髮根年輕95%…1.補益精血，再生黑髮110%…2.養氣補身，髮量增加130%…3.毛囊活化140%…4.白髮停止生長120%…5.抑制落髮毛根粗壯128%…遺傳性禿頭……產後落髮……更年期落髮……壓力型落髮……地中海禿頭……毛囊受損落髮……你要去感受一下第一個它的藥劑的方式…雄性禿……第二件事情它能夠給你什麼樣幫助，快速的四週內你一定感受到活化你的毛囊…少年白髮……以前你可能真的頭髮不夠多，今天你會發現你頭髮怎麼變多了，再來它不會讓你落髮，一直落下去，尤其是包含很多更年期的或者是生完產後的，再來你會發現變年輕，黑金，長出來的頭髮都沒有白髮，全部都是黑色的…四週活化毛囊98%…四週預防落髮97%…四週髮根年輕95%」,1
9,回原皙,「過多的彩妝掩飾?...回原皙由內而外明亮動人，白皙、淡化斑點」「回原皙」「過多的彩妝掩飾?...回原皙由內而外明亮動人，白皙、淡化斑點」,1
10,LAC松樹皮菁華、LAC百立明飲品,「建立膠原蛋白系統的完整性...動作變慢，行動開始不便」,1
11,GNC健安喜LAC回原膠原蛋白-胎盤飲品8瓶/盒、GNC健安喜榖胱甘(月太)LAC回原皙飲品(30包/盒),「食用後，我的笑紋和暗瘡疤印都明顯淡化…「擊退黑」,1
12,【Organika優格康】紅花籽油CLA軟膠囊(60顆/瓶)超值二入組、【Organika優格康】鱈魚肝油軟膠囊250mg,「打擊油膩...啟動熱力代謝打造完美線條...窈窕...快速成就人人稱羨的完美線條」「眼睛使用量大」,1
13,高蛋白,「BCAA」「修護受損肌肉…抑制食慾…肌肉痠痛疲勞恢復快」「防止肌肉流失」,1
14,醣美樂,「血糖至底多高...至底200多挖...自從呷你ㄟ三個月去都降下來...現在飯前剩90...飯後剩120...你現在血糖怎麼進步那麼多主持人~吼吼吼，阿咱血糖不但穩定，咱糖化血色素也都要標準捏，你都差不多多少!?...糖化血色素到9...現在掉到剩6而已...醣美樂...健字號A00265號」,1
15,Dr.Balance蛋白粉,「《早餐吃麥片》高蛋白麥片」「Dr.Balance蛋白粉」「減重期間的飲食控制…四月多的時候體脂肪大約25%…七月底體脂肪已經降到了20%…吃燕麥可以降體脂」「瘦身…變苗條好看以外，提升肌肉量可同時擁有下列優點：提高身體的基礎代謝率（BMR），預防防肥胖復發…提升關節穩定性：肌肉無力容易造成關節脫位、受傷…肌肉可維持身體的熱能，維持體溫，比較不怕冷等等許多益處…體脂肪下降到18％，肌肉量卻沒有明顯提升…可預防泌尿道感染」,1
